time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume
20251230  11:37:00,44.5,44.5,44.5,44.5,0,4.8,5.3,4.8,5.3,28,49.8,28
20251230  11:39:00,44.5,44.5,44.5,44.5,0,5.0,5.2,5.0,5.2,3,49.7,3
20251230  11:40:00,44.5,44.5,44.5,44.5,0,5.5,5.5,5.5,5.5,5,50.0,5
20251230  11:41:00,44.5,44.5,44.5,44.5,0,5.5,5.5,5.5,5.5,1,50.0,1
20251230  11:48:00,44.5,44.5,44.5,44.5,0,5.0,5.0,5.0,5.0,1,49.5,1
20251230  11:50:00,44.5,44.5,44.5,44.5,0,5.4,5.4,5.4,5.4,6,49.9,6
20251230  11:52:00,44.5,44.5,44.5,44.5,0,5.4,5.4,5.4,5.4,1,49.9,1
20251230  11:53:00,44.5,44.5,44.5,44.5,0,5.6,5.6,5.6,5.6,12,50.1,12
20251230  11:55:00,39.0,39.0,39.0,39.0,1,5.6,5.6,5.6,5.6,0,44.6,1
20251230  11:56:00,38.9,38.9,38.9,38.9,2,5.5,5.5,5.5,5.5,2,44.4,4
20251230  11:57:00,38.9,38.9,38.9,38.9,0,5.7,5.8,5.7,5.8,3,44.699999999999996,3
20251230  12:00:00,38.9,38.9,38.9,38.9,0,5.8,6.1,5.8,6.0,12,44.9,12
20251230  12:02:00,38.9,38.9,38.9,38.9,0,6.0,6.0,6.0,6.0,5,44.9,5
20251230  12:04:00,38.9,38.9,38.9,38.9,0,6.2,6.3,6.2,6.3,16,45.199999999999996,16
20251230  12:07:00,38.9,38.9,38.9,38.9,0,5.9,5.9,5.9,5.9,1,44.8,1
20251230  12:10:00,38.9,38.9,38.9,38.9,0,5.6,5.6,5.6,5.6,1,44.5,1
20251230  12:14:00,38.9,38.9,38.9,38.9,0,6.3,6.3,6.3,6.3,1,45.199999999999996,1
20251230  12:15:00,38.9,38.9,38.9,38.9,0,6.2,6.2,6.2,6.2,3,45.1,3
20251230  12:16:00,38.9,38.9,38.9,38.9,0,6.5,6.5,6.5,6.5,1,45.4,1
20251230  12:17:00,37.2,37.2,37.2,37.2,1,6.2,6.2,6.0,6.0,38,43.2,39
20251230  12:23:00,37.2,37.2,37.2,37.2,0,5.5,5.5,5.5,5.5,1,42.7,1
20251230  12:25:00,37.2,37.2,37.2,37.2,0,5.5,5.5,5.5,5.5,18,42.7,18
20251230  12:29:00,37.2,37.2,37.2,37.2,0,5.3,5.3,5.3,5.3,1,42.5,1
20251230  12:31:00,39.3,39.5,39.3,39.5,7,5.3,5.3,5.3,5.3,0,44.8,7
20251230  12:32:00,39.5,39.5,39.5,39.5,3,5.0,5.0,5.0,5.0,1,44.5,4
20251230  12:33:00,39.7,40.5,39.7,40.5,2,4.7,4.7,4.7,4.7,15,45.2,17
20251230  12:35:00,40.7,40.7,40.7,40.7,1,4.6,4.8,4.6,4.8,3,45.5,4
20251230  12:36:00,40.8,40.8,40.8,40.8,1,4.8,4.8,4.8,4.8,0,45.599999999999994,1
20251230  12:37:00,40.8,40.8,40.8,40.8,0,4.7,4.7,4.7,4.7,1,45.5,1
20251230  12:43:00,40.8,40.8,40.8,40.8,0,5.0,5.0,5.0,5.0,1,45.8,1
20251230  12:44:00,40.8,40.8,40.8,40.8,0,5.2,5.2,5.2,5.2,4,46.0,4
20251230  12:45:00,40.8,40.8,40.8,40.8,0,5.2,5.2,5.2,5.2,1,46.0,1
20251230  12:55:00,40.8,40.8,40.8,40.8,0,4.8,4.8,4.8,4.8,1,45.599999999999994,1
20251230  13:00:00,40.8,40.8,40.8,40.8,0,5.2,5.2,5.2,5.2,1,46.0,1
20251230  13:01:00,40.8,40.8,40.8,40.8,0,5.3,5.3,5.3,5.3,1,46.099999999999994,1
20251230  13:02:00,37.7,37.7,37.7,37.7,1,5.3,5.3,5.3,5.3,0,43.0,1
20251230  13:03:00,38.8,38.8,38.8,38.8,1,5.3,5.3,5.3,5.3,0,44.099999999999994,1
20251230  13:04:00,38.8,38.8,38.8,38.8,0,5.1,5.1,5.0,5.0,2,43.8,2
20251230  13:05:00,38.8,38.8,38.8,38.8,0,4.9,4.9,4.9,4.9,1,43.699999999999996,1
20251230  13:06:00,40.7,40.7,40.7,40.7,1,4.9,4.9,4.9,4.9,0,45.6,1
