time,open_call,high_call,low_call,close_call,volume_call,open_put,high_put,low_put,close_put,volume_put,combined_premium,combined_volume,turnover,cum_turnover,cum_volume,vwap
20251218  23:57:00,2.95,2.95,2.95,2.95,0,4.16,4.16,4.16,4.16,2,7.11,2,14.22,167.31,26,6.4350000000000005
20251219  00:32:00,2.95,2.95,2.95,2.95,0,4.67,4.67,4.67,4.67,2,7.62,2,15.24,182.55,28,6.519642857142857
20251219  20:00:00,1.43,1.43,1.43,1.43,0,3.7,3.7,3.7,3.7,2,5.13,2,10.26,192.81,30,6.4270000000000005
20251219  20:01:00,1.8,1.99,1.8,1.99,2,3.7,3.7,3.7,3.7,0,5.69,2,11.38,204.19,32,6.3809375
20251219  20:03:00,2.13,2.16,2.13,2.16,3,3.7,3.7,3.7,3.7,0,5.86,3,17.580000000000002,221.77,35,6.336285714285714
20251219  20:04:00,2.16,2.16,2.16,2.16,0,3.15,3.15,3.15,3.15,2,5.3100000000000005,2,10.620000000000001,232.39000000000001,37,6.280810810810811
20251219  20:06:00,2.03,2.03,2.03,2.03,1,3.25,3.36,3.25,3.36,3,5.39,4,21.56,253.95000000000002,41,6.193902439024391
20251219  20:10:00,2.03,2.03,2.03,2.03,0,3.13,3.13,3.13,3.13,1,5.16,1,5.16,259.11,42,6.1692857142857145
20251219  20:11:00,2.03,2.03,2.03,2.03,0,3.15,3.15,3.15,3.15,1,5.18,1,5.18,264.29,43,6.146279069767442
20251219  20:16:00,2.74,2.74,2.74,2.74,1,2.46,2.46,2.46,2.46,1,5.2,2,10.4,274.69,45,6.104222222222222
20251219  20:19:00,2.74,2.74,2.74,2.74,0,2.55,2.55,2.55,2.55,1,5.29,1,5.29,279.98,46,6.086521739130435
20251219  20:21:00,2.74,2.74,2.74,2.74,0,2.45,2.45,2.45,2.45,3,5.19,3,15.57,295.55,49,6.031632653061225
20251219  20:22:00,2.74,2.74,2.74,2.74,0,2.3,2.3,2.3,2.3,1,5.04,1,5.04,300.59000000000003,50,6.011800000000001
20251219  20:23:00,2.71,2.71,2.71,2.71,1,2.3,2.3,2.3,2.3,0,5.01,1,5.01,305.6,51,5.992156862745098
20251219  20:24:00,2.71,2.71,2.71,2.71,0,2.39,2.39,2.39,2.39,1,5.1,1,5.1,310.70000000000005,52,5.9750000000000005
20251219  20:28:00,2.71,2.71,2.71,2.71,0,2.21,2.21,2.21,2.21,5,4.92,5,24.6,335.30000000000007,57,5.882456140350879
20251219  20:29:00,2.71,2.71,2.71,2.71,0,2.14,2.14,2.14,2.14,1,4.85,1,4.85,340.1500000000001,58,5.864655172413794
20251219  20:30:00,3.02,3.05,3.02,3.05,2,2.14,2.14,2.14,2.14,0,5.1899999999999995,2,10.379999999999999,350.5300000000001,60,5.842166666666668
20251219  20:32:00,3.05,3.05,3.05,3.05,0,1.96,1.96,1.96,1.96,1,5.01,1,5.01,355.5400000000001,61,5.828524590163935
20251219  20:34:00,3.05,3.05,3.05,3.05,0,1.93,1.93,1.93,1.93,8,4.9799999999999995,8,39.839999999999996,395.38000000000005,69,5.730144927536233
20251219  20:35:00,3.05,3.05,3.05,3.05,0,2.07,2.07,2.07,2.07,8,5.119999999999999,8,40.959999999999994,436.34000000000003,77,5.666753246753247
20251219  20:37:00,3.05,3.05,3.05,3.05,0,2.22,2.22,2.22,2.22,1,5.27,1,5.27,441.61,78,5.661666666666667
20251219  20:38:00,3.05,3.05,3.05,3.05,0,2.25,2.25,2.16,2.16,4,5.21,4,20.84,462.45,82,5.639634146341463
20251219  20:42:00,3.05,3.05,3.05,3.05,0,2.25,2.25,2.25,2.25,3,5.3,3,15.899999999999999,478.34999999999997,85,5.627647058823529
20251219  20:43:00,3.05,3.05,3.05,3.05,0,2.2,2.2,2.2,2.2,2,5.25,2,10.5,488.84999999999997,87,5.618965517241379
20251219  20:45:00,2.6,2.6,2.6,2.6,1,2.2,2.2,2.2,2.2,0,4.800000000000001,1,4.800000000000001,493.65,88,5.609659090909091
20251219  20:49:00,2.6,2.6,2.6,2.6,0,2.28,2.28,2.28,2.28,1,4.88,1,4.88,498.53,89,5.601460674157303
20251219  20:51:00,2.67,2.67,2.67,2.67,1,2.28,2.28,2.28,2.28,0,4.949999999999999,1,4.949999999999999,503.47999999999996,90,5.594222222222222
20251219  20:52:00,2.39,2.39,2.39,2.39,1,2.28,2.28,2.28,2.28,0,4.67,1,4.67,508.15,91,5.584065934065934
20251219  20:53:00,2.45,2.45,2.45,2.45,4,2.37,2.37,2.37,2.37,1,4.82,5,24.1,532.25,96,5.544270833333333
20251219  20:56:00,2.32,2.32,2.32,2.32,1,2.5,2.5,2.5,2.5,2,4.82,3,14.46,546.71,99,5.522323232323233
20251219  20:57:00,2.15,2.15,2.15,2.15,1,2.5,2.5,2.5,2.5,0,4.65,1,4.65,551.36,100,5.5136
20251219  20:58:00,2.46,2.46,2.46,2.46,1,2.27,2.27,2.27,2.27,1,4.73,2,9.46,560.82,102,5.498235294117648
20251219  20:59:00,2.46,2.46,2.46,2.46,0,2.26,2.26,2.26,2.26,1,4.72,1,4.72,565.5400000000001,103,5.490679611650486
20251219  21:04:00,2.46,2.46,2.46,2.46,0,2.01,2.01,2.01,2.01,1,4.47,1,4.47,570.0100000000001,104,5.480865384615385
20251219  21:05:00,2.46,2.46,2.46,2.46,0,2.0,2.0,2.0,2.0,2,4.46,2,8.92,578.9300000000001,106,5.461603773584907
20251219  21:06:00,2.81,2.81,2.81,2.81,3,1.9,1.9,1.9,1.9,1,4.71,4,18.84,597.7700000000001,110,5.434272727272728
20251219  21:08:00,2.81,2.81,2.81,2.81,0,1.89,1.89,1.89,1.89,1,4.7,1,4.7,602.4700000000001,111,5.427657657657659
20251219  21:10:00,2.81,2.81,2.81,2.81,0,1.88,1.88,1.88,1.88,1,4.6899999999999995,1,4.6899999999999995,607.1600000000002,112,5.42107142857143
20251219  21:11:00,2.81,2.81,2.81,2.81,0,1.91,1.91,1.91,1.91,1,4.72,1,4.72,611.8800000000002,113,5.41486725663717
20251219  21:16:00,2.81,2.81,2.81,2.81,0,2.18,2.27,2.18,2.27,5,5.08,5,25.4,637.2800000000002,118,5.400677966101696
20251219  21:17:00,2.81,2.81,2.81,2.81,0,2.18,2.18,2.18,2.18,3,4.99,3,14.97,652.2500000000002,121,5.390495867768597
20251219  21:18:00,2.81,2.81,2.81,2.81,0,2.48,2.48,2.42,2.42,2,5.23,2,10.46,662.7100000000003,123,5.387886178861791
20251219  21:20:00,2.81,2.81,2.81,2.81,0,2.4,2.4,2.4,2.4,2,5.21,2,10.42,673.1300000000002,125,5.385040000000002
20251219  21:22:00,2.19,2.19,2.19,2.19,5,2.4,2.4,2.4,2.4,0,4.59,5,22.95,696.0800000000003,130,5.354461538461541
20251219  21:25:00,2.25,2.25,2.25,2.25,3,2.4,2.4,2.4,2.4,0,4.65,3,13.950000000000001,710.0300000000003,133,5.338571428571431
20251219  21:26:00,2.25,2.25,2.25,2.25,0,2.25,2.25,2.25,2.25,1,4.5,1,4.5,714.5300000000003,134,5.332313432835823
